Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
AI Data Engineer,$96K - $126K (Glassdoor est.),"AI Data Engineer
Forge - Newton, MA
www.forgeco.com
About Us
Forge (forgoco.com) is a newly formed startup based in Boston, MA. We are a technology-enabled trades company with mobile, web, AI, and smart-glasses software applications that enable our professionals in the field and create amazing experiences for our customers. We are innovating rapidly within the professional home services industry – an industry that has barely changed in the last 100 years. Why? Because hiring tradespeople or contractors to do even simple tasks is a frustrating and time-consuming process for customers. There are many reasons for this, but one of the biggest is the shortage of skilled tradespeople in the U.S. — the result of long-term trends that have pushed entry-level workers away from the trades.",3.6 ★,Forge3.6 ★,"Newton, MA",51 to 200 Employees,2020,Company - Private,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable
Senior Data Scientist,$97K - $121K (Employer est.),"General information
All posting locations: Remote, Illinois, United States of America
Job Function: 16 - Digital
Date Published: 22-Aug-2023
Ref #: R-73768
Base Salary Range: $96,800.00 - $121,000.00
Target Total Cash Range: $121,000.00 - $151,250.00
Target Total Cash: Target total cash represents this role's annualized cash earning potential at target (base salary + target bonus). Target total cash is contingent on targeted company performance achievement and individual attainment of performance goals. Therefore, target total cash is not guaranteed earnings.",3.5 ★,Kraft Heinz Company3.5 ★,Illinois,10000+ Employees,2015,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Senior Data Scientist,-1,"At Fulcrum, we provide cutting-edge data science consulting and software solutions to help companies solve challenging business problems. Through the utilization of our innovative products and dedicated team, clients are able to operate more efficiently, manage risk, and make informed business decisions every day. Fulcrum Analytics has stood at the forefront of data, analytics, and innovative software for over 25 years, offering sophisticated solutions, groundbreaking technologies, and winning strategies that help companies achieve their targeted results.
Role Description:
The Senior Data Scientist role is expected to develop analytical, statistical, and machine learning solutions to client business problems. The Senior Data Scientist will have a number of responsibilities, including:",-1,Fulcrum Analytics,Remote,-1,-1,-1,-1,-1,-1
Data Scientist (Elasticsearch),-1,"Company Description

CGG is a pioneering Technology Company providing world class fully integrated Geoscience services within the global Energy sector. Created in 1931, our history tells the story of a profession conducted with passion and of an adventure stretching across five continents. We employ in excess of 3,000 people worldwide, who bring a unique blend of talent and energy through working together to deliver unrivalled innovative solutions to our customers.
Through our cutting-edge Technology in Geoscience and customer focus, we have achieved outstanding leadership with a strong focus on innovation and a commitment to delivering the best sustainable solutions to our clients' energy challenges.",3.6 ★,CGG3.6 ★,"Houston, TX",1001 to 5000 Employees,1931,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD)
Data Scientist,$80K - $85K (Employer est.),"Data Scientist (Consultant)
Simatree is actively looking for a Data Scientist to provide strategic support to federal government agencies by applying data mining techniques, performing statistical analyses, and building high-quality prediction systems and reporting procedures. The Data Scientist will help prepare the results of their analyses to internal and external stakeholders to inform mission-critical activities such as budget forecasting, capacity planning, and program evaluation. The Data Scientist will work on a dynamic team comprised of highly experienced policy and program design specialists, data engineers, visualization specialists, and highly engaged clients to meet fast-paced project requirements and provide analytic and program management support.",5 ★,Simatree5 ★,"Washington, DC",1 to 50 Employees,2018,Company - Private,Business Consulting,Management & Consulting,$1 to $5 million (USD)
Data Scientist,-1,"New Light Technologies Inc. (NLT), a leading provider of integrated Data Science, Geospatial, Cloud, and Agile Software Engineering services based in Washington DC, is currently seeking a full-time Senior Data Scientist to join a team of talented technology professionals building the nation's most advanced data privacy protection solution!
The candidate will work with a world renowned interdisciplinary team to design, develop, and implement next-generation disclosure avoidance methods to protect private and personally identifiable information (PII) in large public-use datasets. This will involve the development and testing of novel differential privacy and post-processing algorithms that provably safeguard confidentiality in large datasets. This position requires a leader, innovator, and problem-solver with solid data science, statistical, and programming experience. This position also requires experience developing and designing new projects and solutions, coordinating projects between multiple teams with many stakeholders in a pro-active, enthusiastic communication style.",4.9 ★,"New Light Technologies, Inc.4.9 ★",Remote,1 to 50 Employees,-1,Company - Private,Accounting & Tax,Financial Services,$1 to $5 million (USD)
Data Scientist,$90K - $132K (Glassdoor est.),"onsemi (Nasdaq: ON) is driving disruptive innovations to help build a better future. With a focus on automotive and industrial end-markets, the company is accelerating change in megatrends such as vehicle electrification and safety, sustainable energy grids, industrial automation, and 5G and cloud infrastructure. With a highly differentiated and innovative product portfolio, onsemi creates intelligent power and sensing technologies that solve the world’s most complex challenges and leads the way in creating a safer, cleaner, and smarter world.
We are looking for a Data Scientist to help grow onsemi’s Advanced Analytics capabilities. This is an opportunity to impact a growing, $8B+ enterprise that recognizes the need to leverage modern data technologies and methods to help solve critical business problems. You will join a team responsible for advanced analytics and data science across all business functions in the company including Sales, Marketing, Pricing, Supply Chain, Manufacturing and Product Lines.",3.8 ★,onsemi3.8 ★,"Scottsdale, AZ",10000+ Employees,1999,Company - Public,Electronics Manufacturing,Manufacturing,$5 to $10 billion (USD)
Senior Data Scientist,-1,"Shape the future with intelligence and creativity!
We are looking for those passionate about a world where technology and creativity converge, where incredible work is inspired by brilliant analysis. Bold creators, owners and achievers. Ready to bring everything they've got, to build with care and consideration and deliver truly Intelligent Creative.
Responsibilities:
Design and develop Computer Vision, Natural Language processing and Machine Learning algorithms, in large-scale production systems and assess solutions performance with statistical analysis
Work with large datasets and solve difficult analysis problems, applying advanced analytical methods. Conduct end-to-end analyses, including data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.",3.1 ★,VidMob3.1 ★,Remote,201 to 500 Employees,2014,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable
"Associate, Data Scientist",$78K - $105K (Glassdoor est.),"Company: Oak Street Health

Title: Associate, Data Scientist
Location: Chicago, IL / Remote
Company Description
Oak Street Health is a rapidly growing company of primary care centers for adults on Medicare in medically-underserved communities where there is little to no quality healthcare. Oak Street’s care is based on an entirely new model that is based on value for its patients, not on volume of services. The company is accountable for its patients’ health, spending more than twice as long with its patients and taking on the risks and costs of their care. For more information, visit http://www.oakstreethealth.com.",3.7 ★,Oak Street Health3.7 ★,"Chicago, IL",1001 to 5000 Employees,2012,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
"Scientist 2, Data Science",$80K - $111K (Glassdoor est.),"Responsibilities:
Collect, manage, analyze, and interpret complex scientific data from multiple sources to support technology development and clinical validation.
Develop, validate, and optimize data-driven models and pipelines for analyzing genomics, microbiology, and molecular biology data.
Develop and implement algorithms for data normalization, clustering, classification, and feature selection.
Contribute to the design, execution, and interpretation of experimental data generated from in-house R&D and customer studies.
Collaborate with cross-functional teams to deliver high-quality results.",3.6 ★,Katalyst Healthcares & Life Sciences3.6 ★,"Research Triangle Park, NC",51 to 200 Employees,-1,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
Data Scientist,-1,"We are seeking a dedicated Data Scientist to join our team working on the Hospital Quality Reporting system for the Centers for Medicare and Medicaid Services (CMS). The ideal candidate will be an analytical thinker with a deep understanding of healthcare data and its intricacies. Your work will play a pivotal role in improving the quality and effectiveness of healthcare services provided to millions of beneficiaries.
Responsibilities
Analyze and interpret complex healthcare datasets to provide insights into hospital performance, patient outcomes, and care quality.
Develop, test, and deploy predictive models to identify areas of improvement and risk within hospital care.",3.8 ★,Bellese3.8 ★,United States,51 to 200 Employees,2009,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Data Scientist with LangChain Python,$81K (Employer est.),"Role Title: Data Scientist
Location: Remote
Required Skills
5+ years of experience with data science, with deep knowledge of Python, machine learning & deep learning, and associated data science packages (e.g., sklearn, TensorFlow, PyTorch)
Expertise with LangChainand document querying processes including: document loading, splitting, embedding via task appropriate LLM; vectorstore indexing and storage; retrieval via task appropriate LLM; and prompt engineering.",-1,Synapseb systems,Remote,51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Science and Analytics Analyst,$64K - $80K (Employer est.),"Company Description

Hi there! We’re Razorfish. We’ve been leading the marketing industry with our digital expertise since the start of the internet. But in 2020, we did a full reboot. What’s different? It all starts with people. Weird, wonderful, complex people - with diverse backgrounds in strategy, creative and technology. But no matter how different we are, we all have one thing in common. We believe our differences are our strength. So we push for inclusion, challenge convention and bring in new perspectives, to inspire new ideas. Because when we connect by understanding what makes people different, we can create unforgettable experiences that enrich lives. Join us at razorfish.com.",3.9 ★,Razorfish3.9 ★,"New York, NY",1001 to 5000 Employees,-1,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable
Senior Data Scientist,$85K - $205K (Employer est.),"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.
Job Description Summary: PayPal’s Risk as a Service Data Scientists are comprehensive analytical experts who collaborate with a team of technical and business industry experts, to ensure that their customers are successful in their deployments in catching fraud and malicious activities. They continually improve and apply their technical knowledge and analytical skills across the product suite at every level of the customer.
Job Description:

PayPal is committed to fair and equitable compensation practices.

Actual Compensation is based on various factors including but not limited to work location, and relevant skills and experience.

The total compensation for this practice may include an annual performance bonus (or other incentive compensation, as applicable), equity, and medical, dental, vision, and other benefits. For more information, visit https://www.paypalbenefits.com.

The U.S. national annual pay range for this role is $84500 to $204600",3.9 ★,PayPal3.9 ★,"San Jose, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
"Data Scientist, Analytics",$150K - $175K (Employer est.),"About Us:
At Parafin, our mission is to grow small businesses. Small businesses are the backbone of our economy, yet banks do not have their back. Parafin is a technology company that builds infrastructure which enables small businesses to get easy access to financial services via platforms they sell on.

Parafin's first product offers capital-as-a-service for online platforms. Parafin currently powers the capital programs of platforms ranging from Series B to post-IPO companies such as DoorDash, Amazon, and Worldpay. We are a tight-knit team of engineers and designers, coming from organizations such as Stripe, Square, Plaid, Coinbase, Robinhood, Affirm, Uber, and CERN, and are excited both about helping hundreds of thousands of small businesses grow and thrive, and building products that leaders at top companies have started to use every day.

We are backed by prominent venture capitalists such as Ribbit Capital, Thrive Capital, GIC, Index Ventures, Green Oaks Capital, and SV Angel.",4.6 ★,Parafin4.6 ★,"San Francisco, CA",51 to 200 Employees,2020,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable
Senior Data Scientist,$151K - $200K (Glassdoor est.),"The Position
WHO WE ARE
Our Strategic Analytics & Intelligence (SAI) team isn’t just deciphering data. We’re here to help solve the world’s most complex healthcare challenges and improve the lives of patients.
With a mix of competitive intelligence, market research, data science, advanced analytics, access, and forecasting, SAI unlocks key insights for our internal partners that ultimately benefit healthcare providers and patients. Even if you’ve never worked in biotech, you’ll establish yourself as an expert alongside other specialists. Plus, you can gain new experiences across marketing disciplines, therapeutic areas, and commercial operations. The entire time, you’ll be surrounded by a diverse and inclusive team that aims to reflect the world we serve.",4.2 ★,Genentech4.2 ★,"San Francisco, CA",10000+ Employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
"Senior Data Scientist, Creator Growth",$176K - $234K (Employer est.),"Patreon is the best place for creators to build memberships by providing exclusive access to their work and a deeper connection with their communities. We're building a content and community platform where creators can engage directly with their fans and monetize their creativity, while maintaining full ownership over the work they make and the communities they create.
We're leaders in the membership space with 250,000+ active creators and over $3.5 billion paid directly to creators on our platform. Our team is building tools to optimize the creator-to-fan relationship, including native video, enhanced podcasting features, improved creation tools, and new community experiences. We're continuing to invest heavily in building the most talented team in the Creator Economy and are looking for a Senior Data Scientist, Creator Growth to support our mission.",3.2 ★,Patreon3.2 ★,"New York, NY",51 to 200 Employees,2013,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Senior Data Scientist,$151K - $204K (Glassdoor est.),"Teamwork makes the stream work.
Roku is changing how the world watches TV
Roku is the #1 TV streaming platform in the US, and we've set our sights on powering every television in the world. Roku pioneered streaming to the TV. Our mission is to be the TV streaming platform that connects the entire TV ecosystem. We connect consumers to the content they love, enable content publishers to build and monetize large audiences, and provide advertisers unique capabilities to engage consumers.
From your first day at Roku, you'll make a valuable - and valued - contribution. We're a fast-growing public company where no one is a bystander. We offer you the opportunity to delight millions of TV streamers around the world while gaining meaningful experience across a variety of disciplines.",4.1 ★,Roku4.1 ★,"Austin, TX",1001 to 5000 Employees,2002,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD)
Healthcare Data Scientist,-1,"Inovalon was founded in 1998 on the belief that technology, and data specifically, would empower the transformation of the entire healthcare ecosystem for the better, improving both outcomes and economics. At Inovalon, we believe that when our customers are successful in their missions, healthcare improves. Therefore, we focus on empowering them with data-driven solutions. And the momentum is building.
Together, as ONE Inovalon, we are a united force delivering solutions that address healthcare's greatest needs. Through our mission-based culture of inclusion and innovation, our organization brings value not just to our customers, but to the millions of patients and members they serve.
Overview:",3.1 ★,Inovalon3.1 ★,Remote,1001 to 5000 Employees,1998,Company - Private,Software Development,Information Technology,$500 million to $1 billion (USD)
Sr Data Scientist,-1,"At Hasbro we’re changing the face of play and entertainment. We’re looking for people who want to explore, experiment and innovate to come up with the best ideas. Our culture of community, passion, integrity, creativity and inclusion has inspired our diverse team of highly skilled, highly creative and highly committed individuals for 90+ years and we believe the best is yet to come.

Sr. Data Scientist

The Predictive Analytics team at Hasbro is responsible for analytics in the domain of Paid Media, which includes all of Hasbro’s spend on digital and broadcast media. The data ecosystem is complex and we are seeking a team member to help build a clear picture of how well our media is working.",3.6 ★,Hasbro3.6 ★,"Pawtucket, RI",5001 to 10000 Employees,1923,Company - Public,Consumer Product Manufacturing,Manufacturing,$5 to $10 billion (USD)
Data Scientist,$104K - $145K (Employer est.),"Janssen Pharmaceuticals, Inc., a member of Johnson & Johnson's Family of Companies, is recruiting for a Data Scientist in Janssen Business Technology located in Titusville, NJ.
At the Janssen Pharmaceutical Companies of Johnson & Johnson, what matters most is helping people live full and healthy lives. We focus on treating, curing and preventing some of the most devastating and complex diseases of our time. And we pursue the most promising science, wherever it might be found.
The Janssen Pharmaceutical Companies of Johnson & Johnson provide medicines for an array of health concerns in several therapeutic areas. Our ultimate goal is to help people live healthy lives. We have produced and marketed many first-in-class prescription medications and are poised to serve the broad needs of the healthcare market - from patients to practitioners, from clinics to hospitals. For more about the Pharmaceutical Companies of Johnson & Johnson, visit: http://www.janssenpharmaceuticalsinc.com/ .",4.2 ★,Johnson & Johnson4.2 ★,"Titusville, NJ",10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
Senior Data Scientist,$119K - $161K (Glassdoor est.),"Overview:
Are you looking for an opportunity to join a Fortune 200 company where your analytics expertise will influence our dynamic sales and marketing organizations and help craft our future? Do you thrive on transforming data into insights? If so, we want to speak with you!

We are currently recruiting for a Senior Data Scientist to join Altria Advanced Analytics department in Richmond, VA, or we are open to remote work arrangements.

What you'll be doing:
Utilize various data sources to conduct descriptive and diagnostic analyses, including A/B tests, to derive insights and inform business decisions




Company Overview: Altria has a leading portfolio of tobacco products for U.S. tobacco consumers 21+. Our tobacco companies – which have been the undisputed market leaders in the U.S. tobacco industry for decades – include some of the most enduring names in American business. In combustibles, we own Philip Morris USA, the maker of Marlboro cigarettes and John Middleton, manufacturer of Black & Mild cigars. Our smoke-free portfolio includes ownership of U.S. Smokeless Tobacco Company, the maker of Copenhagen and Skoal, and Helix Innovations, the maker of on! oral nicotine pouches. Additionally, we have a majority-owned joint venture with JT Group, Horizon Innovations, for the U.S. marketing and commercialization of heated tobacco stick products. Through a separate agreement with Philip Morris International, we have the exclusive U.S. commercialization rights to the IQOS* Tobacco Heating System® and Marlboro HeatSticks® through April 2024. Our equity investments include Anheuser-Busch InBev SA/NV, the world’s largest brewer and Cronos Group, a leading Canadian cannabinoid company. Each Altria company is an equal opportunity employer. We are committed to providing individuals with criminal records, including formerly incarcerated individuals and individuals with conviction records, a fair chance at employment. Learn more about Altria at www.altria.com and follow us on Twitter, Facebook and LinkedIn",3.8 ★,Altria3.8 ★,"Richmond, VA",5001 to 10000 Employees,1919,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
Lead Data Scientist,$102K - $163K (Employer est.),"Johnson & Johnson is recruiting for a Lead Data Scientist - Digital & Data Science Group - JJSC located in listed locations or Remote.
Caring for the world, one person at a time has inspired and united the people of Johnson & Johnson for over 130 years. We adopt research and science - bringing innovative ideas, products and services to advance the health and well-being of people.
With $82.6 billion in 2020 sales, Johnson & Johnson is the world's most comprehensive and broadly- based manufacturer of health care products, as well as a provider of related services, for the consumer, pharmaceutical, and medical devices markets. There are more than 260 Johnson & Johnson operating companies employing over 135,000 people and with products touching the lives of over a billion people every day, throughout the world. If you have the talent and desire to touch the world, Johnson & Johnson has the career opportunities to help make it happen.",4.2 ★,Johnson & Johnson4.2 ★,"Bridgewater, NJ",10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
